code,id,name,parent_id:id
,vat_code_chart_root,Tassazione,
IVC,template_ivacode_pagata,IVA a credito,vat_code_chart_root,,
IVCN,template_ivacode_pagata_ind,IVA a credito indetraibile,vat_code_chart_root,,
IVC0,template_ivacode_pagata_0,Fuori Campo IVA (credito),template_ivacode_pagata,,
IVCI,template_impcode_pagata,IVA a credito (imponibile),vat_code_chart_root,,
IVC0I,template_impcode_pagata_0,Fuori Campo IVA (credito) (imponibile),template_impcode_pagata,,
IVCart15,template_ivacode_pagata_art15,Escluso Art.15 (credito),template_ivacode_pagata,,
IVCart15I,template_impcode_pagata_art15,Escluso Art.15. (credito) (imponibile),template_impcode_pagata,,
IVD,template_ivacode_riscossa,IVA a debito,vat_code_chart_root,,
IVD0,template_ivacode_riscossa_0,Fuori Campo IVA (debito),template_ivacode_riscossa,,
IVDI,template_impcode_riscossa,IVA a debito (imponibile),vat_code_chart_root,,
IVD0I,template_impcode_riscossa_0,Fuori Campo IVA (debito) (imponibile),template_impcode_riscossa,,
IVDart15,template_ivacode_riscossa_art15,Escluso Art.15 (debito),template_ivacode_riscossa,,
IVDart15I,template_impcode_riscossa_art15,Escluso Art.15 (debito) (imponibile),template_impcode_riscossa,,
IVC4ind,template_ivacode_pagata_4ind,IVA a credito 4% indetraibile,template_ivacode_pagata_ind,,
IVC4Iind,template_impcode_pagata_4ind,IVA a credito 4% indetraibile (imponibile),template_impcode_pagata,,
IVC4det50,template_ivacode_pagata_4det50,IVA a credito 4% detraibile 50%,template_ivacode_pagata,,
IVC4Ndet50,template_ivacode_pagata_4det50ind,IVA a credito 4% detraibile 50% (indetraibile),template_ivacode_pagata_ind,,
IVC4Idet50,template_impcode_pagata_4det50,IVA a credito 4% detraibile 50% (imponibile),template_impcode_pagata,,
IVC4,template_ivacode_pagata_4,IVA  a credito 4%,template_ivacode_pagata,,
IVC4I,template_impcode_pagata_4,IVA  a credito 4% (imponibile),template_impcode_pagata,,
IVD4,template_ivacode_riscossa_4,IVA  a debito 4%,template_ivacode_riscossa,,
IVD4I,template_impcode_riscossa_4,IVA  a debito 4% (imponibile),template_impcode_riscossa,,
IVC5,template_ivacode_pagata_5,IVA  a credito 5%,template_ivacode_pagata,,
IVC5I,template_impcode_pagata_5,IVA  a credito 5% (imponibile),template_impcode_pagata,,
IVD5,template_ivacode_riscossa_5,IVA  a debito 5%,template_ivacode_riscossa,,
IVD5I,template_impcode_riscossa_5,IVA  a debito 5% (imponibile),template_impcode_riscossa,,
IVC5ind,template_ivacode_pagata_5ind,IVA a credito 5% indetraibile,template_ivacode_pagata_ind,,
IVC5Iind,template_impcode_pagata_5ind,IVA a credito 5% indetraibile (imponibile),template_impcode_pagata,,
IVC5det50,template_ivacode_pagata_5det50,IVA a credito 5% detraibile 50%,template_ivacode_pagata,,
IVC5Ndet50,template_ivacode_pagata_5det50ind,IVA a credito 5% detraibile 50% (indetraibile),template_ivacode_pagata_ind,,
